STIRIS_ID,Order_Unique_ID,Order_Sale_RoundedValue,Freight_Value,Product_ID,Seller_ID,SKU_Item,Mail_Category,Mail_Way_In,Mail_Cost_Type,Mail_Partner_Type,Mail_Partner_Name,Order_Status,Order_Hour_Of_Day,Days_Since_Prior_Order,Mail_From_Type,Intimate_Profit,Order_Quantity_Number,Raw_Pr_Category,Discount_Applied,Offer_Claimed,Order_ForSelf,Order_ForGift,Order_Purchase_date,Order_Approved_At,Shipping_Limit_Date,Order_Delivered_Carrier_Date,Order_Delivered_Customer_Date,Order_Estimated_Delivery_Date
00010242fe8c5a6d1ba2dd792cb16214,12788447,1275,13.29,589203104,246863815,4946710310,Self Pick-up,Train,Complimentary,Contract-row,Ceará Express,Cancelled,8,4,Middle-Mail,1148,7,Computers,TRUE,FALSE,Yes,No,20-Jan-17,20-Jan-17,31-Jan-17,31-Jan-17,31-Jan-17,07-Feb-17
00018f77f2f0320c557190d7a144bdd3,767255693,66,19.93,468720471,923921185,8327090623,On-Demand,Train,Express,Local-Lines,RS Logistics,Refunded,10,30,Last-Mail,12,5,Beauty,FALSE,TRUE,No,Yes,25-Jan-17,27-Jan-17,31-Jan-17,31-Jan-17,31-Jan-17,08-Feb-17
000229ec398224ef6ca0657da4fc703e,908172676,8,17.87,824397798,602789731,2544703563,Same-Day,Ocean,Limited to Order,Local-Lines,RS Logistics,Cancelled,8,29,Middle-Mail,2,3,Automotive,TRUE,FALSE,Yes,No,29-Jan-17,29-Jan-17,02-Feb-17,02-Feb-17,02-Feb-17,08-Feb-17
00024acbcdf0a6daa1e931b038114c75,922407784,80,12.79,302108090,561249296,8138170972,On-Demand,Ocean,Flat-Rate Shipping,LCC,Grupo Depolli,Void,15,8,Last-Mail,56,4,Movies,TRUE,TRUE,No,Yes,29-Jan-17,30-Jan-17,08-Feb-17,08-Feb-17,08-Feb-17,09-Feb-17
00042b26cf59d7ce69dfabb4e55b4fd9,274994918,168,18.14,805843288,107531568,2862877476,Scheduled On-Demand,Air,Basic-Shipping,Freight-Fly,FedEx,Void,18,8,Middle-Mail,111,2,Electronics,FALSE,FALSE,No,Yes,29-Jan-17,31-Jan-17,12-Feb-17,12-Feb-17,12-Feb-17,15-Feb-17
00048cc3ae777c65dbb7d2a0634bc1ea,701113062,424,12.69,935833231,90164282,6189056423,On-Demand,LTL,Free Shipping,Permanent-Flow,Ceará Express,Void,20,17,Middle-Mail,272,5,Books,FALSE,TRUE,No,Yes,29-Jan-17,04-Feb-17,12-Feb-17,12-Feb-17,12-Feb-17,18-Feb-17
00054e8431b9d7675808bcb819fb4a32,118877194,2617,11.85,197775478,642179,3511499801,On-Demand,Ocean,Express,Contract-row,Panalpina,Void,17,10,Middle-Mail,1151,4,Industrial,FALSE,TRUE,No,Yes,31-Jan-17,06-Feb-17,15-Feb-17,15-Feb-17,15-Feb-17,19-Feb-17
000576fe39319847cbb9d288c5617fa6,755204945,561,70.75,179980055,802690699,8992484887,Same-Day,Ocean,Basic-Shipping,Vendor-Base,FedEx,Cancelled,15,10,Last-Mail,212,3,Jewelery,FALSE,FALSE,No,Yes,02-Feb-17,07-Feb-17,15-Feb-17,15-Feb-17,15-Feb-17,22-Feb-17
0005a1a1728c9d785b8e2b08b904576c,141167072,119,11.65,975503141,945242542,1279510021,Same-Day,LTL,IN-Store,Freight-Fly,Ceará Express,Completed,10,30,Last-Mail,5,8,Shoes,FALSE,TRUE,No,Yes,05-Feb-17,10-Feb-17,17-Feb-17,17-Feb-17,17-Feb-17,23-Feb-17
0005f50442cb953dcd1d21e1fb923495,947250712,1355,11.4,760496673,87400534,1197221476,Same-Day,Truckload,Complimentary,Contract-row,Panalpina,Completed,19,7,Last-Mail,60,5,Automotive,TRUE,TRUE,Yes,No,09-Feb-17,18-Feb-17,17-Feb-17,17-Feb-17,17-Feb-17,27-Feb-17
00061f2a7bc09da83e415a52dc8a4af1,190699719,24,8.88,503867981,968402885,4137914451,Same-Day,Train,Free Shipping,Vendor-Base,Grupo Depolli,Damaged,15,30,Last-Mail,30,1,Grocery,FALSE,FALSE,Yes,No,13-Feb-17,20-Feb-17,21-Feb-17,21-Feb-17,21-Feb-17,11-Mar-17
00063b381e2406b52ad429470734ebd5,140952072,193,12.98,140700877,779069644,6439203487,Self Pick-up,Train,Free Shipping,Permanent-Flow,Pronto Cargo,Cancelled,10,30,Middle-Mail,166,3,Movies,FALSE,TRUE,Yes,No,16-Feb-17,21-Feb-17,22-Feb-17,22-Feb-17,22-Feb-17,11-Mar-17
0006ec9db01a64e59a68b2c340bf65a7,11186024,180,23.32,275157254,448797749,9969390155,Self Pick-up,Air,Complimentary,Vendor-Base,RS Logistics,Damaged,12,2,Middle-Mail,5,3,Home,FALSE,FALSE,Yes,No,20-Feb-17,22-Feb-17,22-Feb-17,22-Feb-17,22-Feb-17,13-Mar-17
0008288aa423d2a3f00fcb17cd7d8719,757347669,116,13.37,641007680,86139000,2248082177,Self Pick-up,Train,Basic-Shipping,Contract-row,RS Logistics,Void,17,18,Last-Mail,16,4,Sports,TRUE,TRUE,Yes,No,21-Feb-17,24-Feb-17,23-Feb-17,23-Feb-17,23-Feb-17,15-Mar-17
