PRODUCT_ID,RAW_PR_CATEGORY,CUSTOM_RATING,COLOR_VARIANT,COLOR_VARIANT_HEXCODE,STOCK_STATUS,MANFACTURING_DATE,CARRIER_SIZE,LIMITED_STOCK,ACTIVE_FOR_SALE,PRODUCT_BIZ_STATUS,AUTOMATIC_PROLONGATION,AUTOMATIC_PROLONGATION_PERIOD,UPSELL_AVAILABILITY,SELLER_ID,SKU_ITEM,ASSORTMENT_PRIORITY,NEGAT_IND,PROMO_THEME
589203104,Grocery,2,Indigo,#1eb698,SOS,30-09-2020,Low Fr,FALSE,TRUE,Comm Type,FALSE,36,TRUE,246863815,4946710310,FALSE,No,E-mail
468720471,Games,3,Blue,#9bd6c2,Available,30-05-2022,Heavy Fr,FALSE,TRUE,Comm Type,FALSE,52,FALSE,923921185,8327090623,TRUE,No,Referral
824397798,Baby,5,Green,#c428fd,Available,25-01-2021,Low Fr,FALSE,TRUE,Sale Type,TRUE,24,TRUE,602789731,2544703563,FALSE,No,Referral
302108090,Kids,1,Blue,#e61cbb,Available,29-04-2017,Heavy Fr,FALSE,TRUE,Trust Type,FALSE,33,TRUE,561249296,8138170972,TRUE,No,E-mail
805843288,Tools,1,Puce,#e41719,Available,25-10-2018,Heavy Fr,FALSE,TRUE,Self Type,FALSE,22,FALSE,107531568,2862877476,TRUE,No,TeleM
935833231,Toys,1,Green,#e91e48,OOS,29-06-2019,Low Fr,FALSE,TRUE,Self Type,TRUE,31,FALSE,90164282,6189056423,TRUE,Yes,E-mail
197775478,Tools,4,Crimson,#b1727a,Available,12-03-2022,Heavy Fr,TRUE,FALSE,Sale Type,TRUE,29,TRUE,642179,3511499801,TRUE,No,Website
179980055,Shoes,1,Goldenrod,#c578ac,Available,08-06-2022,Heavy Fr,FALSE,TRUE,Comm Type,TRUE,6,TRUE,802690699,8992484887,FALSE,No,Website
975503141,Sports,1,Aquamarine,#e9bcea,Available,03-12-2019,Low Fr,FALSE,FALSE,Trust Type,TRUE,8,TRUE,945242542,1279510021,TRUE,Yes,Referral
760496673,Shoes,1,Khaki,#c8e418,Available,09-04-2022,Low Fr,TRUE,FALSE,Self Type,FALSE,26,FALSE,87400534,1197221476,FALSE,No,Referral
503867981,Home,5,Green,#9b76bb,SOS,09-02-2018,Low Fr,TRUE,TRUE,Comm Type,FALSE,33,FALSE,968402885,4137914451,FALSE,Yes,Website
140700877,Tools,5,Pink,#cddc96,SOS,10-04-2021,Medium Fr,TRUE,TRUE,Sale Type,TRUE,38,TRUE,779069644,6439203487,FALSE,Yes,Unique
275157254,Industrial,5,Khaki,#7e7e3c,OOS,15-06-2018,Low Fr,FALSE,TRUE,Self Type,TRUE,10,FALSE,448797749,9969390155,TRUE,Yes,Website
641007680,Garden,4,Violet,#929943,SOS,16-10-2019,Heavy Fr,FALSE,FALSE,Trust Type,FALSE,36,TRUE,86139000,2248082177,FALSE,No,Website
785123856,Toys,3,Blue,#5118ad,SOS,20-03-2018,Low Fr,TRUE,TRUE,Comm Type,TRUE,8,TRUE,986987469,1439710996,FALSE,No,Referral
30639921,Garden,5,Goldenrod,#2bf344,OOS,17-10-2019,Medium Fr,FALSE,TRUE,Trust Type,FALSE,26,FALSE,469496289,6712439116,TRUE,No,TeleM
287525948,Movies,2,Crimson,#a3044a,SOS,02-11-2019,Heavy Fr,TRUE,TRUE,Self Type,FALSE,22,TRUE,45234737,2310048194,TRUE,Yes,E-mail
659282525,Clothing,1,Crimson,#7156b8,OOS,20-06-2017,Medium Fr,FALSE,TRUE,Sale Type,FALSE,13,TRUE,56183080,4090752450,TRUE,Yes,Unique
212730323,Clothing,2,Violet,#4d3cbc,Available,30-05-2017,Medium Fr,FALSE,FALSE,Self Type,FALSE,36,TRUE,326303288,562653740,FALSE,Yes,TeleM
333658829,Music,5,Violet,#a15ae7,SOS,04-11-2020,Heavy Fr,FALSE,TRUE,Comm Type,FALSE,32,TRUE,614398703,4959965738,FALSE,Yes,Website
911550842,Grocery,4,Mauv,#ad674b,OOS,07-01-2020,Low Fr,FALSE,FALSE,Self Type,TRUE,25,FALSE,59103664,1188898442,TRUE,Yes,Referral
991277572,Books,3,Purple,#f0c907,Available,15-08-2018,Medium Fr,FALSE,TRUE,Comm Type,FALSE,6,TRUE,874309516,9398947846,FALSE,Yes,E-mail
545075395,Grocery,3,Orange,#6c0fa4,OOS,04-08-2017,Medium Fr,TRUE,TRUE,Trust Type,FALSE,32,TRUE,530539597,7929882985,TRUE,Yes,Referral
621217842,Clothing,1,Khaki,#6a460f,SOS,18-05-2018,Low Fr,FALSE,FALSE,Comm Type,FALSE,2,FALSE,58230295,9186415662,FALSE,Yes,TeleM
45950504,Sports,3,Goldenrod,#b5f7be,SOS,27-06-2021,Heavy Fr,TRUE,FALSE,Comm Type,FALSE,33,TRUE,870542903,8831900986,FALSE,Yes,E-mail
804871990,Health,3,Goldenrod,#95a18e,Available,05-12-2020,Medium Fr,TRUE,TRUE,Self Type,TRUE,34,FALSE,374367852,1322743762,FALSE,Yes,Referral
451133436,Industrial,5,Maroon,#dcd505,SOS,08-11-2017,Heavy Fr,FALSE,TRUE,Sale Type,FALSE,29,FALSE,707162522,3097080635,TRUE,No,Website
755216668,Grocery,2,Red,#1353e5,SOS,08-08-2020,Medium Fr,TRUE,TRUE,Trust Type,FALSE,25,TRUE,39638497,1723920835,TRUE,Yes,Referral
851348038,Clothing,2,Purple,#7f897f,SOS,24-07-2020,Low Fr,FALSE,FALSE,Sale Type,TRUE,34,TRUE,885204302,4518081609,FALSE,No,Website
793582730,Health,3,Pink,#da8b43,SOS,23-02-2021,Low Fr,TRUE,TRUE,Sale Type,TRUE,45,TRUE,333084151,2992096431,FALSE,Yes,Referral
257401340,Kids,2,Turquoise,#7717e8,SOS,25-01-2017,Medium Fr,FALSE,FALSE,Sale Type,TRUE,22,FALSE,128873164,8380431812,FALSE,Yes,Referral
749582914,Music,2,Blue,#76eb32,Available,07-02-2022,Low Fr,FALSE,FALSE,Trust Type,TRUE,24,FALSE,780983338,9670414024,FALSE,Yes,Unique
348052065,Automotive,5,Orange,#9ea338,OOS,13-01-2022,Low Fr,FALSE,TRUE,Sale Type,FALSE,32,TRUE,616433970,6905272280,FALSE,No,Website
346468615,Computers,5,Turquoise,#524a2b,SOS,24-04-2018,Medium Fr,FALSE,FALSE,Sale Type,FALSE,6,TRUE,331856229,4412004953,FALSE,Yes,TeleM
399081593,Baby,4,Green,#40188a,SOS,09-09-2017,Low Fr,TRUE,FALSE,Self Type,TRUE,21,TRUE,123639954,326519556,FALSE,Yes,TeleM
905947882,Automotive,4,Puce,#08b347,Available,24-07-2017,Heavy Fr,FALSE,TRUE,Comm Type,TRUE,38,FALSE,87588079,6246539831,FALSE,No,Unique
206628633,Industrial,4,Purple,#24f3be,Available,07-12-2019,Heavy Fr,FALSE,FALSE,Trust Type,FALSE,6,TRUE,634411076,1147371016,TRUE,No,Unique
578317248,Toys,3,Maroon,#04e9e2,Available,03-05-2017,Medium Fr,FALSE,TRUE,Trust Type,FALSE,22,TRUE,420603695,813636442,TRUE,Yes,E-mail
557993768,Movies,3,Puce,#988a08,Available,11-03-2019,Heavy Fr,FALSE,FALSE,Self Type,TRUE,26,TRUE,556839646,1059770121,TRUE,Yes,Unique
89152165,Movies,3,Turquoise,#37d0d4,SOS,18-11-2018,Medium Fr,FALSE,TRUE,Trust Type,TRUE,38,TRUE,776393204,3537409397,FALSE,Yes,Unique
871224210,Music,4,Goldenrod,#0230d5,OOS,22-12-2019,Heavy Fr,FALSE,FALSE,Trust Type,TRUE,15,FALSE,646035063,1754342159,TRUE,No,E-mail
957035964,Toys,4,Orange,#1aa4ee,OOS,29-11-2017,Heavy Fr,TRUE,TRUE,Trust Type,FALSE,2,TRUE,484643379,1123334331,FALSE,Yes,Website
989681192,Baby,5,Indigo,#a65d27,SOS,05-06-2018,Heavy Fr,TRUE,TRUE,Sale Type,TRUE,10,TRUE,236940858,5136314982,TRUE,No,Referral
654898524,Music,3,Blue,#9873b4,Available,20-04-2021,Medium Fr,TRUE,TRUE,Trust Type,FALSE,32,FALSE,924022305,2883080186,TRUE,No,Referral
311261804,Jewelery,2,Turquoise,#29e694,Available,18-07-2019,Medium Fr,FALSE,FALSE,Sale Type,TRUE,37,FALSE,988262328,2363252039,FALSE,Yes,TeleM
114313048,Sports,5,Turquoise,#ecf733,Available,05-09-2018,Medium Fr,FALSE,FALSE,Sale Type,FALSE,10,FALSE,339104838,4892209007,TRUE,Yes,Unique
434150975,Tools,4,Puce,#6d9923,OOS,06-05-2022,Low Fr,TRUE,FALSE,Comm Type,TRUE,36,FALSE,250517720,4111418899,FALSE,No,Website
42620081,Electronics,5,Turquoise,#fb70a6,SOS,29-06-2021,Low Fr,FALSE,FALSE,Comm Type,TRUE,21,FALSE,707293492,9248753981,FALSE,Yes,Unique
912876382,Beauty,1,Goldenrod,#bae142,SOS,06-08-2020,Medium Fr,TRUE,TRUE,Comm Type,TRUE,10,TRUE,414131931,450588106,TRUE,No,TeleM
745940642,Garden,4,Khaki,#5e2ab2,OOS,27-12-2017,Heavy Fr,FALSE,FALSE,Comm Type,FALSE,31,FALSE,972188165,1157775098,FALSE,No,TeleM
681325695,Home,3,Puce,#d27ad8,OOS,01-11-2020,Medium Fr,TRUE,FALSE,Sale Type,FALSE,31,TRUE,123270552,4095126566,FALSE,No,TeleM
150464449,Automotive,5,Teal,#d7bac9,SOS,02-10-2018,Heavy Fr,FALSE,TRUE,Self Type,TRUE,24,FALSE,611691399,2128713943,FALSE,No,Referral
699914304,Electronics,4,Red,#ef03e7,Available,12-12-2018,Medium Fr,FALSE,FALSE,Trust Type,FALSE,35,TRUE,708084843,8858907760,FALSE,No,E-mail
624688600,Shoes,3,Goldenrod,#8355ce,Available,02-12-2018,Medium Fr,FALSE,FALSE,Trust Type,FALSE,6,FALSE,654304863,3944876474,FALSE,No,E-mail
526403168,Industrial,5,Puce,#5b12d8,OOS,05-06-2017,Medium Fr,TRUE,TRUE,Trust Type,TRUE,25,TRUE,727150196,6455291883,TRUE,No,TeleM
767189625,Movies,5,Puce,#8589bb,OOS,25-11-2021,Heavy Fr,TRUE,FALSE,Self Type,FALSE,37,FALSE,147074087,3553672501,FALSE,No,Unique
55068992,Kids,2,Violet,#7b2244,SOS,26-02-2019,Low Fr,FALSE,FALSE,Trust Type,TRUE,38,FALSE,540236569,549900020,FALSE,No,E-mail
373679908,Computers,5,Red,#d24b2c,OOS,17-08-2018,Low Fr,TRUE,FALSE,Self Type,FALSE,33,TRUE,165711636,5924559556,FALSE,Yes,Website
151906683,Movies,2,Purple,#692c1e,OOS,27-08-2019,Heavy Fr,FALSE,TRUE,Self Type,TRUE,38,FALSE,465651711,6252823597,FALSE,No,Unique
65203526,Electronics,4,Mauv,#f953f7,OOS,22-04-2018,Low Fr,TRUE,FALSE,Comm Type,TRUE,33,FALSE,584114838,7281973799,TRUE,No,Unique
205748687,Home,4,Red,#6970c6,SOS,13-08-2018,Heavy Fr,TRUE,TRUE,Comm Type,FALSE,24,FALSE,249428574,4546085788,FALSE,Yes,Website
372022950,Computers,4,Mauv,#5bd196,Available,12-08-2017,Low Fr,FALSE,FALSE,Sale Type,FALSE,36,TRUE,115818375,3602288056,FALSE,Yes,Website
525458596,Sports,3,Pink,#cd28ba,Available,31-05-2017,Heavy Fr,TRUE,TRUE,Trust Type,TRUE,29,FALSE,955053623,5598621347,TRUE,No,E-mail
122647069,Games,4,Puce,#501786,OOS,23-08-2020,Low Fr,FALSE,TRUE,Self Type,TRUE,10,FALSE,95509872,9886950331,FALSE,Yes,E-mail
547202451,Books,1,Yellow,#b39db8,OOS,22-10-2018,Heavy Fr,FALSE,FALSE,Self Type,TRUE,31,FALSE,982301755,5000161262,TRUE,Yes,Referral
467640796,Industrial,5,Aquamarine,#223a88,Available,23-04-2020,Heavy Fr,FALSE,FALSE,Self Type,FALSE,10,TRUE,332915610,2226732217,FALSE,No,Referral
737477188,Tools,4,Goldenrod,#07606c,OOS,27-09-2017,Medium Fr,TRUE,TRUE,Self Type,FALSE,38,FALSE,870009623,747089426,FALSE,No,Referral
661106142,Automotive,2,Crimson,#a3a5ef,SOS,18-04-2022,Medium Fr,FALSE,TRUE,Sale Type,TRUE,24,TRUE,782535491,619410248,FALSE,No,Referral
929402088,Shoes,4,Aquamarine,#8050a7,SOS,01-02-2020,Low Fr,TRUE,FALSE,Comm Type,TRUE,26,FALSE,524636307,9246299558,TRUE,No,Referral
683239668,Baby,4,Orange,#4e11d7,SOS,02-02-2022,Low Fr,TRUE,TRUE,Trust Type,TRUE,32,FALSE,847409696,6531826002,FALSE,Yes,E-mail
347929532,Automotive,3,Blue,#2a0fa8,OOS,29-12-2017,Low Fr,FALSE,FALSE,Comm Type,FALSE,33,TRUE,631482989,4219319751,FALSE,Yes,Referral
